none,"_raw","_time","cert_chain_fps{}",cipher,curve,established,"id.orig_h","id.orig_p","id.resp_h","id.resp_p",issuer,ja3,ja3s,"last_alert","next_protocol",path,resumed,"server_name","sni_matches_cert","ssl_history",subject,"system_name",ts,uid,"validation_status",version,"write_ts"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:32:25.924945Z"",""ts"":""2024-10-18T14:27:25.733308Z"",""uid"":""CcxdLA23qQqSwHjbhe"",""id.orig_h"":""172.27.0.137"",""id.orig_p"":51198,""id.resp_h"":""64.176.7.215"",""id.resp_p"":443,""resumed"":false,""established"":false,""ssl_history"":""C"",""ja3"":""19e29534fd49dd27d09234e639c4057e""}","2024-10-18T14:32:25.924+0000",,,,false,"172.27.0.137",51198,"64.176.7.215",443,,19e29534fd49dd27d09234e639c4057e,,,,ssl,false,,,C,,"sensor.aod-20241016.training.corelight.io","2024-10-18T14:27:25.733308Z",CcxdLA23qQqSwHjbhe,,,"2024-10-18T14:32:25.924945Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:32:02.747020Z"",""ts"":""2024-10-18T14:27:02.663952Z"",""uid"":""Cl2df2WGRxJiVZUa"",""id.orig_h"":""216.238.114.32"",""id.orig_p"":47070,""id.resp_h"":""172.27.0.137"",""id.resp_p"":443,""version"":""TLSv12"",""cipher"":""TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256"",""curve"":""x25519"",""server_name"":""staging.rc-1.zip"",""resumed"":false,""established"":false,""ssl_history"":""Csxkn"",""cert_chain_fps"":[""6cae7e24218cc6b8d710a4bb40d2e0647fcaf82e45c34606a2c4d4636dda2a8f"",""67add1166b020ae61b8f5fc96813c04c2aa589960796865572a3c7e737613dfd"",""6d99fb265eb1c5b3744765fcbc648f3cd8e1bffafdc4c2f99b9d47cf7ff1c24f""],""client_cert_chain_fps"":[],""subject"":""CN=staging.rc-1.zip"",""issuer"":""CN=R3,O=Let's Encrypt,C=US"",""sni_matches_cert"":true,""validation_status"":""certificate has expired"",""ja3"":""c199b43d41b470f8f68c5561f8f1ce3e"",""ja3s"":""174a48523e8f428b7e9132e81e6ccf9f""}","2024-10-18T14:32:02.747+0000","6cae7e24218cc6b8d710a4bb40d2e0647fcaf82e45c34606a2c4d4636dda2a8f
67add1166b020ae61b8f5fc96813c04c2aa589960796865572a3c7e737613dfd
6d99fb265eb1c5b3744765fcbc648f3cd8e1bffafdc4c2f99b9d47cf7ff1c24f","TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256",x25519,false,"216.238.114.32",47070,"172.27.0.137",443,"CN=R3,O=Let's Encrypt,C=US",c199b43d41b470f8f68c5561f8f1ce3e,174a48523e8f428b7e9132e81e6ccf9f,,,ssl,false,"staging.rc-1.zip",true,Csxkn,"CN=staging.rc-1.zip","sensor.aod-20241016.training.corelight.io","2024-10-18T14:27:02.663952Z",Cl2df2WGRxJiVZUa,"certificate has expired",TLSv12,"2024-10-18T14:32:02.747020Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:44.759898Z"",""ts"":""2024-10-18T14:25:44.736068Z"",""uid"":""Cus5692Fpr1pPATZh"",""id.orig_h"":""216.238.114.32"",""id.orig_p"":55548,""id.resp_h"":""172.27.0.137"",""id.resp_p"":443,""resumed"":false,""last_alert"":""internal_error"",""established"":false,""ssl_history"":""Cl"",""ja3"":""75fe51990656df4f7a249d5b86aa29ae""}","2024-10-18T14:30:44.759+0000",,,,false,"216.238.114.32",55548,"172.27.0.137",443,,75fe51990656df4f7a249d5b86aa29ae,,"internal_error",,ssl,false,,,Cl,,"sensor.aod-20241016.training.corelight.io","2024-10-18T14:25:44.736068Z",Cus5692Fpr1pPATZh,,,"2024-10-18T14:30:44.759898Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:44.484053Z"",""ts"":""2024-10-18T14:25:44.458406Z"",""uid"":""C3djNE3blgc9ufovL1"",""id.orig_h"":""216.238.114.32"",""id.orig_p"":38812,""id.resp_h"":""172.27.0.137"",""id.resp_p"":443,""resumed"":false,""last_alert"":""internal_error"",""established"":false,""ssl_history"":""Cl"",""ja3"":""75fe51990656df4f7a249d5b86aa29ae""}","2024-10-18T14:30:44.484+0000",,,,false,"216.238.114.32",38812,"172.27.0.137",443,,75fe51990656df4f7a249d5b86aa29ae,,"internal_error",,ssl,false,,,Cl,,"sensor.aod-20241016.training.corelight.io","2024-10-18T14:25:44.458406Z",C3djNE3blgc9ufovL1,,,"2024-10-18T14:30:44.484053Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:44.482860Z"",""ts"":""2024-10-18T14:25:44.453741Z"",""uid"":""CQKD252TLGPobj9kUg"",""id.orig_h"":""216.238.114.32"",""id.orig_p"":38798,""id.resp_h"":""172.27.0.137"",""id.resp_p"":443,""resumed"":false,""last_alert"":""internal_error"",""established"":false,""ssl_history"":""Cl"",""ja3"":""75fe51990656df4f7a249d5b86aa29ae""}","2024-10-18T14:30:44.482+0000",,,,false,"216.238.114.32",38798,"172.27.0.137",443,,75fe51990656df4f7a249d5b86aa29ae,,"internal_error",,ssl,false,,,Cl,,"sensor.aod-20241016.training.corelight.io","2024-10-18T14:25:44.453741Z",CQKD252TLGPobj9kUg,,,"2024-10-18T14:30:44.482860Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:44.334537Z"",""ts"":""2024-10-18T14:25:44.307854Z"",""uid"":""CgXvId4NmKDGoR0B7a"",""id.orig_h"":""216.238.114.32"",""id.orig_p"":38734,""id.resp_h"":""172.27.0.137"",""id.resp_p"":443,""resumed"":false,""last_alert"":""internal_error"",""established"":false,""ssl_history"":""Cl"",""ja3"":""75fe51990656df4f7a249d5b86aa29ae""}","2024-10-18T14:30:44.334+0000",,,,false,"216.238.114.32",38734,"172.27.0.137",443,,75fe51990656df4f7a249d5b86aa29ae,,"internal_error",,ssl,false,,,Cl,,"sensor.aod-20241016.training.corelight.io","2024-10-18T14:25:44.307854Z",CgXvId4NmKDGoR0B7a,,,"2024-10-18T14:30:44.334537Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:44.333665Z"",""ts"":""2024-10-18T14:25:44.310905Z"",""uid"":""C2Dvqe4dAZ8YCMQPJ1"",""id.orig_h"":""216.238.114.32"",""id.orig_p"":38738,""id.resp_h"":""172.27.0.137"",""id.resp_p"":443,""resumed"":false,""last_alert"":""internal_error"",""established"":false,""ssl_history"":""Cl"",""ja3"":""75fe51990656df4f7a249d5b86aa29ae""}","2024-10-18T14:30:44.333+0000",,,,false,"216.238.114.32",38738,"172.27.0.137",443,,75fe51990656df4f7a249d5b86aa29ae,,"internal_error",,ssl,false,,,Cl,,"sensor.aod-20241016.training.corelight.io","2024-10-18T14:25:44.310905Z",C2Dvqe4dAZ8YCMQPJ1,,,"2024-10-18T14:30:44.333665Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:44.238850Z"",""ts"":""2024-10-18T14:25:44.197870Z"",""uid"":""CKPiih3A2jX3klym15"",""id.orig_h"":""216.238.114.32"",""id.orig_p"":38698,""id.resp_h"":""172.27.0.137"",""id.resp_p"":443,""resumed"":false,""last_alert"":""internal_error"",""established"":false,""ssl_history"":""Cl"",""ja3"":""75fe51990656df4f7a249d5b86aa29ae""}","2024-10-18T14:30:44.238+0000",,,,false,"216.238.114.32",38698,"172.27.0.137",443,,75fe51990656df4f7a249d5b86aa29ae,,"internal_error",,ssl,false,,,Cl,,"sensor.aod-20241016.training.corelight.io","2024-10-18T14:25:44.197870Z",CKPiih3A2jX3klym15,,,"2024-10-18T14:30:44.238850Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:29.743291Z"",""ts"":""2024-10-18T14:30:29.735292Z"",""uid"":""CucJsq4KBmi4G7cXib"",""id.orig_h"":""172.27.0.137"",""id.orig_p"":59290,""id.resp_h"":""3.5.28.23"",""id.resp_p"":443,""version"":""TLSv12"",""cipher"":""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256"",""curve"":""secp256r1"",""server_name"":""staging-validation-poc.s3.amazonaws.com"",""resumed"":false,""next_protocol"":""http/1.1"",""established"":true,""ssl_history"":""CsxknGIi"",""cert_chain_fps"":[""2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f"",""5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33"",""87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706"",""28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996""],""client_cert_chain_fps"":[],""subject"":""CN=*.s3.amazonaws.com"",""issuer"":""CN=Amazon RSA 2048 M01,O=Amazon,C=US"",""sni_matches_cert"":true,""validation_status"":""certificate has expired"",""ja3"":""07ff1e545ef8ab3fcf8a4dc9272221c2"",""ja3s"":""50a9e7b112931e541503e8a2499252b9""}","2024-10-18T14:30:29.743+0000","2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f
5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33
87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706
28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996","TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256",secp256r1,true,"172.27.0.137",59290,"3.5.28.23",443,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",07ff1e545ef8ab3fcf8a4dc9272221c2,50a9e7b112931e541503e8a2499252b9,,"http/1.1",ssl,false,"staging-validation-poc.s3.amazonaws.com",true,CsxknGIi,"CN=*.s3.amazonaws.com","sensor.aod-20241016.training.corelight.io","2024-10-18T14:30:29.735292Z",CucJsq4KBmi4G7cXib,"certificate has expired",TLSv12,"2024-10-18T14:30:29.743291Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:29.704997Z"",""ts"":""2024-10-18T14:30:29.634445Z"",""uid"":""CBFBu238nlR6epmfFe"",""id.orig_h"":""172.27.0.137"",""id.orig_p"":40886,""id.resp_h"":""3.5.28.46"",""id.resp_p"":443,""version"":""TLSv12"",""cipher"":""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256"",""curve"":""secp256r1"",""server_name"":""staging-validation-poc.s3.amazonaws.com"",""resumed"":false,""next_protocol"":""http/1.1"",""established"":true,""ssl_history"":""CsxknGIi"",""cert_chain_fps"":[""2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f"",""5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33"",""87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706"",""28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996""],""client_cert_chain_fps"":[],""subject"":""CN=*.s3.amazonaws.com"",""issuer"":""CN=Amazon RSA 2048 M01,O=Amazon,C=US"",""sni_matches_cert"":true,""validation_status"":""certificate has expired"",""ja3"":""07ff1e545ef8ab3fcf8a4dc9272221c2"",""ja3s"":""50a9e7b112931e541503e8a2499252b9""}","2024-10-18T14:30:29.704+0000","2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f
5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33
87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706
28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996","TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256",secp256r1,true,"172.27.0.137",40886,"3.5.28.46",443,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",07ff1e545ef8ab3fcf8a4dc9272221c2,50a9e7b112931e541503e8a2499252b9,,"http/1.1",ssl,false,"staging-validation-poc.s3.amazonaws.com",true,CsxknGIi,"CN=*.s3.amazonaws.com","sensor.aod-20241016.training.corelight.io","2024-10-18T14:30:29.634445Z",CBFBu238nlR6epmfFe,"certificate has expired",TLSv12,"2024-10-18T14:30:29.704997Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:29.700878Z"",""ts"":""2024-10-18T14:30:29.630613Z"",""uid"":""CT6q2P3mGkEMKKM2Mj"",""id.orig_h"":""172.27.0.137"",""id.orig_p"":42872,""id.resp_h"":""52.216.106.67"",""id.resp_p"":443,""version"":""TLSv12"",""cipher"":""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256"",""curve"":""secp256r1"",""server_name"":""staging-validation-poc.s3.amazonaws.com"",""resumed"":false,""next_protocol"":""http/1.1"",""established"":true,""ssl_history"":""CsxknGIi"",""cert_chain_fps"":[""2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f"",""5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33"",""87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706"",""28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996""],""client_cert_chain_fps"":[],""subject"":""CN=*.s3.amazonaws.com"",""issuer"":""CN=Amazon RSA 2048 M01,O=Amazon,C=US"",""sni_matches_cert"":true,""validation_status"":""certificate has expired"",""ja3"":""07ff1e545ef8ab3fcf8a4dc9272221c2"",""ja3s"":""50a9e7b112931e541503e8a2499252b9""}","2024-10-18T14:30:29.700+0000","2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f
5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33
87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706
28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996","TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256",secp256r1,true,"172.27.0.137",42872,"52.216.106.67",443,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",07ff1e545ef8ab3fcf8a4dc9272221c2,50a9e7b112931e541503e8a2499252b9,,"http/1.1",ssl,false,"staging-validation-poc.s3.amazonaws.com",true,CsxknGIi,"CN=*.s3.amazonaws.com","sensor.aod-20241016.training.corelight.io","2024-10-18T14:30:29.630613Z",CT6q2P3mGkEMKKM2Mj,"certificate has expired",TLSv12,"2024-10-18T14:30:29.700878Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:29.696416Z"",""ts"":""2024-10-18T14:30:29.630275Z"",""uid"":""CNXrevsIkQXfTF5O1"",""id.orig_h"":""172.27.0.137"",""id.orig_p"":35298,""id.resp_h"":""52.216.146.147"",""id.resp_p"":443,""version"":""TLSv12"",""cipher"":""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256"",""curve"":""secp256r1"",""server_name"":""staging-validation-poc.s3.amazonaws.com"",""resumed"":false,""next_protocol"":""http/1.1"",""established"":true,""ssl_history"":""CsxknGIi"",""cert_chain_fps"":[""2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f"",""5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33"",""87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706"",""28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996""],""client_cert_chain_fps"":[],""subject"":""CN=*.s3.amazonaws.com"",""issuer"":""CN=Amazon RSA 2048 M01,O=Amazon,C=US"",""sni_matches_cert"":true,""validation_status"":""certificate has expired"",""ja3"":""07ff1e545ef8ab3fcf8a4dc9272221c2"",""ja3s"":""50a9e7b112931e541503e8a2499252b9""}","2024-10-18T14:30:29.696+0000","2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f
5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33
87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706
28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996","TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256",secp256r1,true,"172.27.0.137",35298,"52.216.146.147",443,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",07ff1e545ef8ab3fcf8a4dc9272221c2,50a9e7b112931e541503e8a2499252b9,,"http/1.1",ssl,false,"staging-validation-poc.s3.amazonaws.com",true,CsxknGIi,"CN=*.s3.amazonaws.com","sensor.aod-20241016.training.corelight.io","2024-10-18T14:30:29.630275Z",CNXrevsIkQXfTF5O1,"certificate has expired",TLSv12,"2024-10-18T14:30:29.696416Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:29.692524Z"",""ts"":""2024-10-18T14:30:29.629568Z"",""uid"":""C81fBp21q8isKubT82"",""id.orig_h"":""172.27.0.137"",""id.orig_p"":38670,""id.resp_h"":""3.5.29.35"",""id.resp_p"":443,""version"":""TLSv12"",""cipher"":""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256"",""curve"":""secp256r1"",""server_name"":""staging-validation-poc.s3.amazonaws.com"",""resumed"":false,""next_protocol"":""http/1.1"",""established"":true,""ssl_history"":""CsxknGIi"",""cert_chain_fps"":[""2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f"",""5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33"",""87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706"",""28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996""],""client_cert_chain_fps"":[],""subject"":""CN=*.s3.amazonaws.com"",""issuer"":""CN=Amazon RSA 2048 M01,O=Amazon,C=US"",""sni_matches_cert"":true,""validation_status"":""certificate has expired"",""ja3"":""07ff1e545ef8ab3fcf8a4dc9272221c2"",""ja3s"":""50a9e7b112931e541503e8a2499252b9""}","2024-10-18T14:30:29.692+0000","2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f
5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33
87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706
28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996","TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256",secp256r1,true,"172.27.0.137",38670,"3.5.29.35",443,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",07ff1e545ef8ab3fcf8a4dc9272221c2,50a9e7b112931e541503e8a2499252b9,,"http/1.1",ssl,false,"staging-validation-poc.s3.amazonaws.com",true,CsxknGIi,"CN=*.s3.amazonaws.com","sensor.aod-20241016.training.corelight.io","2024-10-18T14:30:29.629568Z",C81fBp21q8isKubT82,"certificate has expired",TLSv12,"2024-10-18T14:30:29.692524Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:29.689733Z"",""ts"":""2024-10-18T14:30:29.626070Z"",""uid"":""CR4zXdBhR6xGXCoC6"",""id.orig_h"":""172.27.0.137"",""id.orig_p"":59274,""id.resp_h"":""3.5.28.23"",""id.resp_p"":443,""version"":""TLSv12"",""cipher"":""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256"",""curve"":""secp256r1"",""server_name"":""staging-validation-poc.s3.amazonaws.com"",""resumed"":false,""next_protocol"":""http/1.1"",""established"":true,""ssl_history"":""CsxknGIi"",""cert_chain_fps"":[""2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f"",""5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33"",""87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706"",""28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996""],""client_cert_chain_fps"":[],""subject"":""CN=*.s3.amazonaws.com"",""issuer"":""CN=Amazon RSA 2048 M01,O=Amazon,C=US"",""sni_matches_cert"":true,""validation_status"":""certificate has expired"",""ja3"":""07ff1e545ef8ab3fcf8a4dc9272221c2"",""ja3s"":""50a9e7b112931e541503e8a2499252b9""}","2024-10-18T14:30:29.689+0000","2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f
5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33
87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706
28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996","TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256",secp256r1,true,"172.27.0.137",59274,"3.5.28.23",443,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",07ff1e545ef8ab3fcf8a4dc9272221c2,50a9e7b112931e541503e8a2499252b9,,"http/1.1",ssl,false,"staging-validation-poc.s3.amazonaws.com",true,CsxknGIi,"CN=*.s3.amazonaws.com","sensor.aod-20241016.training.corelight.io","2024-10-18T14:30:29.626070Z",CR4zXdBhR6xGXCoC6,"certificate has expired",TLSv12,"2024-10-18T14:30:29.689733Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:29.686604Z"",""ts"":""2024-10-18T14:30:29.625565Z"",""uid"":""CkbDAw4DFbjc2lBOVh"",""id.orig_h"":""172.27.0.137"",""id.orig_p"":59260,""id.resp_h"":""3.5.28.23"",""id.resp_p"":443,""version"":""TLSv12"",""cipher"":""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256"",""curve"":""secp256r1"",""server_name"":""staging-validation-poc.s3.amazonaws.com"",""resumed"":false,""next_protocol"":""http/1.1"",""established"":true,""ssl_history"":""CsxknGIi"",""cert_chain_fps"":[""2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f"",""5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33"",""87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706"",""28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996""],""client_cert_chain_fps"":[],""subject"":""CN=*.s3.amazonaws.com"",""issuer"":""CN=Amazon RSA 2048 M01,O=Amazon,C=US"",""sni_matches_cert"":true,""validation_status"":""certificate has expired"",""ja3"":""07ff1e545ef8ab3fcf8a4dc9272221c2"",""ja3s"":""50a9e7b112931e541503e8a2499252b9""}","2024-10-18T14:30:29.686+0000","2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f
5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33
87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706
28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996","TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256",secp256r1,true,"172.27.0.137",59260,"3.5.28.23",443,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",07ff1e545ef8ab3fcf8a4dc9272221c2,50a9e7b112931e541503e8a2499252b9,,"http/1.1",ssl,false,"staging-validation-poc.s3.amazonaws.com",true,CsxknGIi,"CN=*.s3.amazonaws.com","sensor.aod-20241016.training.corelight.io","2024-10-18T14:30:29.625565Z",CkbDAw4DFbjc2lBOVh,"certificate has expired",TLSv12,"2024-10-18T14:30:29.686604Z"
,"{""_path"":""ssl"",""_system_name"":""sensor.aod-20241016.training.corelight.io"",""_write_ts"":""2024-10-18T14:30:29.682350Z"",""ts"":""2024-10-18T14:30:29.625110Z"",""uid"":""CVmrfQ1fVIhY7bXNNa"",""id.orig_h"":""172.27.0.137"",""id.orig_p"":38660,""id.resp_h"":""3.5.29.35"",""id.resp_p"":443,""version"":""TLSv12"",""cipher"":""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256"",""curve"":""secp256r1"",""server_name"":""staging-validation-poc.s3.amazonaws.com"",""resumed"":false,""next_protocol"":""http/1.1"",""established"":true,""ssl_history"":""CsxknGIi"",""cert_chain_fps"":[""2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f"",""5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33"",""87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706"",""28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996""],""client_cert_chain_fps"":[],""subject"":""CN=*.s3.amazonaws.com"",""issuer"":""CN=Amazon RSA 2048 M01,O=Amazon,C=US"",""sni_matches_cert"":true,""validation_status"":""certificate has expired"",""ja3"":""07ff1e545ef8ab3fcf8a4dc9272221c2"",""ja3s"":""50a9e7b112931e541503e8a2499252b9""}","2024-10-18T14:30:29.682+0000","2c9051c5d0daa9b5c9a303bd322830dd11c0e680dfbc7588ae55dc4d87fc125f
5338ebec8fb2ac60996126d3e76aa34fd0f3318ac78ebb7ac8f6f1361f484b33
87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706
28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996","TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256",secp256r1,true,"172.27.0.137",38660,"3.5.29.35",443,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",07ff1e545ef8ab3fcf8a4dc9272221c2,50a9e7b112931e541503e8a2499252b9,,"http/1.1",ssl,false,"staging-validation-poc.s3.amazonaws.com",true,CsxknGIi,"CN=*.s3.amazonaws.com","sensor.aod-20241016.training.corelight.io","2024-10-18T14:30:29.625110Z",CVmrfQ1fVIhY7bXNNa,"certificate has expired",TLSv12,"2024-10-18T14:30:29.682350Z"
